
K = 2, Run (2,6,4): fitness => -58.57
K = 2, Run (2,6,5): fitness => -58.57

K = 2, Run (2,7,1): fitness => -58.57
K = 2, Run (2,7,2): fitness => -58.57
K = 2, Run (2,7,3): fitness => -58.57
K = 2, Run (2,7,4): fitness => -58.57
K = 2, Run (2,7,5): fitness => -58.57

K = 2, Run (2,8,1): fitness => -58.57
K = 2, Run (2,8,2): fitness => -58.57
K = 2, Run (2,8,3): fitness => -58.57
K = 2, Run (2,8,4): fitness => -58.57
K = 2, Run (2,8,5): fitness => -58.57

K = 2, Run (2,9,1): fitness => -58.57
K = 2, Run (2,9,2): fitness => -58.57
K = 2, Run (2,9,3): fitness => -58.57
K = 2, Run (2,9,4): fitness => -58.57
K = 2, Run (2,9,5): fitness => -58.57

K = 2, Run (2,10,1): fitness => -58.57
K = 2, Run (2,10,2): fitness => -58.57
K = 2, Run (2,10,3): fitness => -58.57
K = 2, Run (2,10,4): fitness => -58.57
K = 2, Run (2,10,5): fitness => -58.57

#-58.57

K = 2, Run (1,1,1): fitness => -61.14
K = 2, Run (1,1,2): fitness => -60.66
K = 2, Run (1,1,3): fitness => -60.20
K = 2, Run (1,1,4): fitness => -60.14
K = 2, Run (1,1,5): fitness => -60.10

K = 2, Run (1,2,1): fitness => -60.27
K = 2, Run (1,2,2): fitness => -60.20
K = 2, Run (1,2,3): fitness => -60.14
K = 2, Run (1,2,4): fitness => -60.10
K = 2, Run (1,2,5): fitness => -60.10

K = 2, Run (1,3,1): fitness => -60.16
K = 2, Run (1,3,2): fitness => -60.12
K = 2, Run (1,3,3): fitness => -60.10
K = 2, Run (1,3,4): fitness => -60.10
K = 2, Run (1,3,5): fitness => -60.10

K = 2, Run (1,4,1): fitness => -60.10
K = 2, Run (1,4,2): fitness => -60.10
K = 2, Run (1,4,3): fitness => -60.10
K = 2, Run (1,4,4): fitness => -60.10
K = 2, Run (1,4,5): fitness => -60.10

K = 2, Run (1,5,1): fitness => -60.10
K = 2, Run (1,5,2): fitness => -60.10
K = 2, Run (1,5,3): fitness => -60.10
K = 2, Run (1,5,4): fitness => -60.10
K = 2, Run (1,5,5): fitness => -60.10

K = 2, Run (1,6,1): fitness => -60.10
K = 2, Run (1,6,2): fitness => -60.10
K = 2, Run (1,6,3): fitness => -60.10
K = 2, Run (1,6,4): fitness => -60.10
K = 2, Run (1,6,5): fitness => -60.10

K = 2, Run (1,7,1): fitness => -60.10
K = 2, Run (1,7,2): fitness => -60.10
K = 2, Run (1,7,3): fitness => -60.10
K = 2, Run (1,7,4): fitness => -60.10
K = 2, Run (1,7,5): fitness => -60.10

K = 2, Run (1,8,1): fitness => -60.10
K = 2, Run (1,8,2): fitness => -60.10
K = 2, Run (1,8,3): fitness => -60.10
K = 2, Run (1,8,4): fitness => -60.10
K = 2, Run (1,8,5): fitness => -60.10

K = 2, Run (1,9,1): fitness => -60.10
K = 2, Run (1,9,2): fitness => -60.10
K = 2, Run (1,9,3): fitness => -60.10
K = 2, Run (1,9,4): fitness => -60.10
K = 2, Run (1,9,5): fitness => -60.10

K = 2, Run (1,10,1): fitness => -60.10
K = 2, Run (1,10,2): fitness => -60.10
K = 2, Run (1,10,3): fitness => -60.10
K = 2, Run (1,10,4): fitness => -60.10
K = 2, Run (1,10,5): fitness => -60.10

K = 2, Run (2,1,1): fitness => -Inf
K = 2, Run (2,1,2): fitness => -Inf
K = 2, Run (2,1,3): fitness => -Inf
K = 2, Run (2,1,4): fitness => -61.28
K = 2, Run (2,1,5): fitness => -61.08

K = 2, Run (2,2,1): fitness => -Inf
K = 2, Run (2,2,2): fitness => -Inf
K = 2, Run (2,2,3): fitness => -61.28
K = 2, Run (2,2,4): fitness => -61.08
K = 2, Run (2,2,5): fitness => -61.08

K = 2, Run (2,3,1): fitness => -61.42
K = 2, Run (2,3,2): fitness => -61.17
K = 2, Run (2,3,3): fitness => -61.08
K = 2, Run (2,3,4): fitness => -61.08
K = 2, Run (2,3,5): fitness => -61.08

K = 2, Run (2,4,1): fitness => -61.08
K = 2, Run (2,4,2): fitness => -61.08
K = 2, Run (2,4,3): fitness => -61.08
K = 2, Run (2,4,4): fitness => -61.08
K = 2, Run (2,4,5): fitness => -61.08

K = 2, Run (2,5,1): fitness => -61.08
K = 2, Run (2,5,2): fitness => -61.08
K = 2, Run (2,5,3): fitness => -61.08
K = 2, Run (2,5,4): fitness => -61.08
K = 2, Run (2,5,5): fitness => -61.08

K = 2, Run (2,6,1): fitness => -61.08
K = 2, Run (2,6,2): fitness => -61.08
K = 2, Run (2,6,3): fitness => -61.08
K = 2, Run (2,6,4): fitness => -61.08
K = 2, Run (2,6,5): fitness => -61.08

K = 2, Run (2,7,1): fitness => -61.08
K = 2, Run (2,7,2): fitness => -61.08
K = 2, Run (2,7,3): fitness => -61.08
K = 2, Run (2,7,4): fitness => -61.08
K = 2, Run (2,7,5): fitness => -61.08

K = 2, Run (2,8,1): fitness => -61.08
